primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
joe south,1970,"""Walk A Mile In My Shoes""","""joe south""",TRUE,1,CAPITOL CATALOG MKT (C92),1968-01-01,CAPITOL CATALOG MKT (C92),1970,FALSE,97,0,0,FALSE
b.b. king,1970,"""The Thrill Is Gone""","""b.b. king""",TRUE,1,Geffen,1969-12-05,Geffen,1970,FALSE,98,0,0,FALSE
glen campbell,1970,"""It's Only Make Believe""","""glen campbell""",TRUE,4,Capitol Nashville,1970-01-01,Capitol Nashville,1970,FALSE,99,3,1.7320508075688772,TRUE
aretha franklin,1970,"""Call Me""","""aretha franklin""",TRUE,9,Rhino Atlantic,1968-06-14,Rhino Atlantic,1970,TRUE,100,8,2.8284271247461903,TRUE
rod stewart,1971,"""Maggie May""/""Reason to Believe""","""rod stewart""",TRUE,14,Mercury Records,1971-05-18,Mercury Records,1970,FALSE,2,13,3.605551275463989,TRUE
carole king,1971,"""It's Too Late""/""I Feel the Earth Move""","""carole king""",TRUE,2,Ode/Epic/Legacy,1971,Ode; Epic; Legacy,1970,TRUE,3,1,1,TRUE
the osmonds,1971,"""One Bad Apple""","""the osmonds""",TRUE,3,Universal Records,1970-11-14,Universal Records,1970,FALSE,4,2,1.4142135623730951,TRUE
bee gees,1971,"""How Can You Mend a Broken Heart""","""bee gees""",TRUE,12,Bee Gees Catalog,1971-09,Bee Gees Catalog,1970,FALSE,5,11,3.3166247903554,TRUE
raiders,1971,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""","""raiders""",TRUE,1,Columbia/Legacy,1971,Columbia; Legacy,1970,TRUE,6,0,0,FALSE
donny osmond,1971,"""Go Away Little Girl""","""donny osmond""",TRUE,5,Universal Records,1971-10-11,Universal Records,1970,FALSE,7,4,2,TRUE
