No.,Title,Artist,Year,all_artists,artist_list,primary_artist,other_artists,primary_artist_count,one_hit
18,"""Heart of Glass""",blondie,1979,blondie,,blondie,NA,4,0
18,"""Upside Down""",diana ross,1980,diana ross,,diana ross,NA,13,0
18,"""Just the Two of Us""","grover washington, jr. & bill withers",1981,"grover washington, jr. & bill withers",,grover washington,"jr., bill, ers",1,1
18,"""You Should Hear How She Talks About You""",melissa manchester,1982,melissa manchester,,melissa manchester,NA,3,0
18,"""Let's Dance""",david bowie,1983,david bowie,,david bowie,NA,5,0
18,"""Jump (For My Love)""",the pointer sisters,1984,the pointer sisters,,the pointer sisters,NA,8,0
18,"""St. Elmo's Fire (Man in Motion)""",john parr,1985,john parr,,john parr,NA,1,1
18,"""Never""",heart,1986,heart,,heart,NA,8,0
18,"""I Think We're Alone Now""",tiffany,1987,tiffany,,tiffany,NA,3,0
18,"""Wild, Wild West""",the escape club,1988,the escape club,,the escape club,NA,2,0
18,"""She Drives Me Crazy""",fine young cannibals,1989,fine young cannibals,,fine young cannibals,NA,2,0
18,"""Black Velvet""",alannah myles,1990,alannah myles,,alannah myles,NA,1,1
18,"""I Adore Mi Amor""",color me badd,1991,color me badd,,color me badd,NA,6,0
18,"""Life Is a Highway""",tom cochrane,1992,tom cochrane,,tom cochrane,NA,1,1
18,"""A Whole New World""",peabo bryson and regina belle,1993,peabo bryson and regina belle,,peabo bryson,regina belle,3,0
18,"""Can You Feel the Love Tonight""",elton john,1994,elton john,,elton john,NA,28,0
18,"""Boombastic"" / ""In the Summertime""",shaggy,1995,shaggy,,shaggy,NA,3,0
18,"""It's All Coming Back to Me Now""",celine dion,1996,celine dion,,celine dion,NA,11,0
18,"""Barely Breathing""",duncan sheik,1997,duncan sheik,,duncan sheik,NA,1,1
18,"""The First Night""",monica,1998,monica,,monica,NA,8,0
18,"""Angel""",sarah mclachlan,1999,sarah mclachlan,,sarah mclachlan,NA,4,0
18,"""Doesn't Really Matter""",janet jackson,2000,janet jackson,,janet jackson,NA,24,0
18,"""Ride wit Me""",nelly featuring city spud,2001,nelly featuring city spud,,nelly,city spud,14,0
18,"""I Need a Girl (Part Two)""","p. diddy featuring ginuwine, loon and mario winans",2002,"p. diddy featuring ginuwine, loon and mario winans",,p. diddy,"ginuwine, loon, mario winans",2,0
18,"""I'm with You""",avril lavigne,2003,avril lavigne,,avril lavigne,NA,8,0
18,"""Naughty Girl""",beyoncé,2004,beyoncé,,beyoncé,NA,23,0
18,"""Pon de Replay""",rihanna,2005,rihanna,,rihanna,NA,33,0
18,"""It's Goin' Down""",yung joc featuring nitti,2006,yung joc featuring nitti,,yung joc,nitti,2,0
18,"""The Way I Are""",timbaland featuring keri hilson,2007,timbaland featuring keri hilson,,timbal,", keri hilson",5,0
18,"""Pocketful of Sunshine""",natasha bedingfield,2008,natasha bedingfield,,natasha bedingfield,NA,4,0
18,"""Live Your Life""",t.i. featuring rihanna,2009,t.i. featuring rihanna,,t.i.,rihanna,11,0
18,"""Just the Way You Are""",bruno mars,2010,bruno mars,,bruno mars,NA,11,0
18,"""Born This Way""",lady gaga,2011,lady gaga,,lady gaga,NA,17,0
18,"""One More Night""",maroon 5,2012,maroon 5,,maroon 5,NA,25,0
18,"""Wrecking Ball""",miley cyrus,2013,miley cyrus,,miley cyrus,NA,12,0
18,"""Team""",lorde,2014,lorde,,lorde,NA,3,0
18,"""Shake It Off""",taylor swift,2015,taylor swift,,taylor swift,NA,36,0
18,"""Cake by the Ocean""",dnce,2016,dnce,,dnce,NA,1,1
18,"""Wild Thoughts""",dj khaled featuring rihanna and bryson tiller,2017,dj khaled featuring rihanna and bryson tiller,,dj khaled,"rihanna, bryson tiller",8,0
18,"""Never Be the Same""",camila cabello,2018,camila cabello,,camila cabello,NA,5,0
18,"""Going Bad""",meek mill featuring drake,2019,meek mill featuring drake,,meek mill,drake,2,0
18,"""Everything I Wanted""",billie eilish,2020,billie eilish,,billie eilish,NA,12,0
18,"""Forever After All""",luke combs,2021,luke combs,,luke combs,NA,17,0
18,"""Need to Know""",doja cat,2022,doja cat,,doja cat,NA,15,0
18,"""Cruel Summer""",taylor swift,2023,taylor swift,,taylor swift,NA,36,0
18,"""Good Luck, Babe!""",chappell roan,2024,chappell roan,,chappell roan,NA,2,0
19,"""Thank You (Falettinme Be Mice Elf Agin)""",sly & the family stone,1970,sly & the family stone,,sly,the family stone,3,0
19,"""Do You Know What I Mean""",lee michaels,1971,lee michaels,,lee michaels,NA,1,1
19,"""I'll Take You There""",the staple singers,1972,the staple singers,,the staple singers,NA,2,0
19,"""You Are the Sunshine of My Life""",stevie wonder,1973,stevie wonder,,stevie wonder,NA,18,0
19,"""Sideshow""",blue magic,1974,blue magic,,blue magic,NA,1,1
19,"""He Don't Love You (Like I Love You)""",tony orlando and dawn,1975,tony orlando and dawn,,tony orl,"o, dawn",4,0
19,"""Misty Blue""",dorothy moore,1976,dorothy moore,,dorothy moore,NA,1,1
19,"""Hotel California""",eagles,1977,eagles,,eagles,NA,8,0
19,"""If I Can't Have You""",yvonne elliman,1978,yvonne elliman,,yvonne elliman,NA,1,1
19,"""What a Fool Believes""",the doobie brothers,1979,the doobie brothers,,the doobie brothers,NA,3,0
19,"""Please Don't Go""",kc and the sunshine band,1980,kc and the sunshine band,,kc,"the sunshine b,",7,0
19,"""Slow Hand""",the pointer sisters,1981,the pointer sisters,,the pointer sisters,NA,8,0
19,"""Waiting for a Girl Like You""",foreigner,1982,foreigner,,foreigner,NA,9,0
19,"""Twilight Zone""",golden earring,1983,golden earring,,golden earring,NA,2,0
19,"""Talking in Your Sleep""",the romantics,1984,the romantics,,the romantics,NA,1,1
19,"""The Heat Is On""",glenn frey,1985,glenn frey,,glenn frey,NA,2,0
19,"""Kiss""",prince and the revolution,1986,prince and the revolution,,prince,the revolution,15,0
19,"""Mony Mony""",billy idol,1987,billy idol,,billy idol,NA,5,0
19,"""Pour Some Sugar on Me""",def leppard,1988,def leppard,,def leppard,NA,7,0
19,"""On Our Own""",bobby brown,1989,bobby brown,,bobby brown,NA,8,0
19,"""Release Me""",wilson phillips,1990,wilson phillips,,wilson phillips,NA,4,0
19,"""Love Will Never Do (Without You)""",janet jackson,1991,janet jackson,,janet jackson,NA,24,0
19,"""Remember the Time""",michael jackson,1992,michael jackson,,michael jackson,NA,26,0
19,"""If""",janet jackson,1993,janet jackson,,janet jackson,NA,24,0
19,"""The Most Beautiful Girl in the World""",prince,1994,prince,,prince,NA,15,0
19,"""Total Eclipse of the Heart""",nicki french,1995,nicki french,,nicki french,NA,1,1
19,"""Change the World""",eric clapton,1996,eric clapton,,eric clapton,NA,8,0
19,"""Hard to Say I'm Sorry""",az yet featuring peter cetera,1997,az yet featuring peter cetera,,az yet,peter cetera,3,0
19,"""Been Around the World""",puff daddy & the family featuring the notorious b.i.g. and mase,1998,puff daddy & the family featuring the notorious b.i.g. and mase,,puff daddy,"the family, the notorious b.i.g., mase",6,0
19,"""Smooth""",santana featuring rob thomas,1999,santana featuring rob thomas,,santana,rob thomas,9,0
19,"""What a Girl Wants""",christina aguilera,2000,christina aguilera,,christina aguilera,NA,9,0
19,"""Follow Me""",uncle kracker,2001,uncle kracker,,uncle kracker,NA,3,0
19,"""Gangsta Lovin'""",eve featuring alicia keys,2002,eve featuring alicia keys,,eve,alicia keys,2,0
19,"""Drift Away""",uncle kracker featuring dobie gray,2003,uncle kracker featuring dobie gray,,uncle kracker,dobie gray,3,0
19,"""My Immortal""",evanescence,2004,evanescence,,evanescence,NA,3,0
19,"""How We Do""",the game featuring 50 cent,2005,the game featuring 50 cent,,the game,50 cent,3,0
19,"""SOS""",rihanna,2006,rihanna,,rihanna,NA,33,0
19,"""Fergalicious""",fergie featuring will.i.am,2007,fergie featuring will.i.am,,fergie,will.i.am,6,0
19,"""Kiss Kiss""",chris brown featuring t-pain,2008,chris brown featuring t-pain,,chris brown,t-pain,24,0
19,"""Kiss Me thru the Phone""",soulja boy tell 'em featuring sammie,2009,soulja boy tell 'em featuring sammie,,soulja boy tell 'em,sammie,4,0
19,"""Cooler Than Me""",mike posner,2010,mike posner,,mike posner,NA,3,0
19,"""Fuckin' Perfect""",pink,2011,pink,,pink,NA,19,0
19,"""Drive By""",train,2012,train,,train,NA,6,0
19,"""Wake Me Up""",avicii,2013,avicii,,avicii,NA,3,0
19,"""Let Her Go""",passenger,2014,passenger,,passenger,NA,2,0
19,"""Where Are Ü Now""",skrillex and diplo (jack ü) featuring justin bieber,2015,skrillex and diplo (jack ü) featuring justin bieber,,skrillex,"diplo (jack ü), justin bieber",1,1
19,"""Me, Myself & I""",g-eazy and bebe rexha,2016,g-eazy and bebe rexha,,g-eazy,bebe rexha,3,0
19,"""Black Beatles""",rae sremmurd featuring gucci mane,2017,rae sremmurd featuring gucci mane,,rae sremmurd,gucci mane,4,0
19,"""Love Lies""",khalid and normani,2018,khalid and normani,,khalid,normani,7,0
19,"""Shallow""",lady gaga and bradley cooper,2019,lady gaga and bradley cooper,,lady gaga,bradley cooper,17,0
19,"""Roses (Imanbek remix)""",saint jhn,2020,saint jhn,,saint jhn,NA,1,1
19,"""Go Crazy""",chris brown and young thug,2021,chris brown and young thug,,chris brown,young thug,24,0
19,"""Wasted on You""",morgan wallen,2022,morgan wallen,,morgan wallen,NA,18,0
19,"""Thinkin' Bout Me""",morgan wallen,2023,morgan wallen,,morgan wallen,NA,18,0
19,"""Saturn""",sza,2024,sza,,sza,NA,9,0
20,"""Spill the Wine""",eric burdon & war,1970,eric burdon & war,,eric burdon,war,1,1
20,"""The Night They Drove Old Dixie Down""",joan baez,1971,joan baez,,joan baez,NA,1,1
20,"""Ben""",michael jackson,1972,michael jackson,,michael jackson,NA,26,0
20,"""Half-Breed""",cher,1973,cher,,cher,NA,10,0
20,"""Hooked on a Feeling""",blue swede,1974,blue swede,,blue swede,NA,1,1
20,"""At Seventeen""",janis ian,1975,janis ian,,janis ian,NA,1,1
20,"""Boogie Fever""",the sylvers,1976,the sylvers,,the sylvers,NA,3,0
20,"""Got to Give It Up""",marvin gaye,1977,marvin gaye,,marvin gaye,NA,5,0
20,"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""",chic,1978,chic,,chic,NA,4,0
20,"""Good Times""",chic,1979,chic,,chic,NA,4,0
20,"""Babe""",styx,1980,styx,,styx,NA,9,0
20,"""I Love You""",climax blues band,1981,climax blues band,,climax blues b,NA,2,0
20,"""Don't Talk to Strangers""",rick springfield,1982,rick springfield,,rick springfield,NA,5,0
20,"""I Know There's Something Going On""",frida,1983,frida,,frida,NA,1,1
20,"""Self Control""",laura branigan,1984,laura branigan,,laura branigan,NA,5,0
20,"""We Are the World""",usa for africa,1985,usa for africa,,usa for africa,NA,1,1
20,"""Higher Love""",steve winwood,1986,steve winwood,,steve winwood,NA,6,0
20,"""At This Moment""",billy vera and the beaters,1987,billy vera and the beaters,,billy vera,the beaters,1,1
20,"""I'll Always Love You""",taylor dayne,1988,taylor dayne,,taylor dayne,NA,8,0
20,"""Two Hearts""",phil collins,1989,phil collins,,phil collins,NA,14,0
20,"""Don't Know Much""",linda ronstadt featuring aaron neville,1990,linda ronstadt featuring aaron neville,,linda ronstadt,aaron neville,9,0
20,"""Good Vibrations""",marky mark and the funky bunch featuring loleatta holloway,1991,marky mark and the funky bunch featuring loleatta holloway,,marky mark,"the funky bunch, loleatta holloway",2,0
20,"""Finally""",cece peniston,1992,cece peniston,,cece peniston,NA,3,0
20,"""I'm So Into You""",swv,1993,swv,,swv,NA,6,0
20,"""Fantastic Voyage""",coolio,1994,coolio,,coolio,NA,5,0
20,"""You Gotta Be""",des'ree,1995,des'ree,,des'ree,NA,1,1
20,"""Hey Lover""",ll cool j featuring boyz ii men,1996,ll cool j featuring boyz ii men,,ll cool j,boyz ii men,7,0
20,"""Mo Money Mo Problems""",the notorious b.i.g. featuring puff daddy and mase,1997,the notorious b.i.g. featuring puff daddy and mase,,the notorious b.i.g.,"puff daddy, mase",4,0
20,"""Adia""",sarah mclachlan,1998,sarah mclachlan,,sarah mclachlan,NA,4,0
20,"""Unpretty""",tlc,1999,tlc,,tlc,NA,10,0
20,"""Back at One""",brian mcknight,2000,brian mcknight,,brian mcknight,NA,4,0
20,"""Peaches & Cream""",112,2001,112,,112,NA,6,0
20,"""My Sacrifice""",creed,2002,creed,,creed,NA,5,0
20,"""Magic Stick""",lil' kim featuring 50 cent,2003,lil' kim featuring 50 cent,,lil' kim,50 cent,4,0
20,"""Sunshine""",lil' flip featuring lea,2004,lil' flip featuring lea,,lil' flip,lea,2,0
20,"""Beverly Hills""",weezer,2005,weezer,,weezer,NA,1,1
20,"""I Write Sins Not Tragedies""",panic! at the disco,2006,panic! at the disco,,panic! at the disco,NA,3,0
20,"""Crank That (Soulja Boy)""",soulja boy tell 'em,2007,soulja boy tell 'em,,soulja boy tell 'em,NA,4,0
20,"""Closer""",ne-yo,2008,ne-yo,,ne-yo,NA,11,0
20,"""Down""",jay sean featuring lil wayne,2009,jay sean featuring lil wayne,,jay sean,lil wayne,3,0
20,"""Imma Be""",the black eyed peas,2010,the black eyed peas,,the black eyed peas,NA,15,0
20,"""What's My Name?""",rihanna featuring drake,2011,rihanna featuring drake,,rihanna,drake,33,0
20,"""The Motto""",drake featuring lil wayne,2012,drake featuring lil wayne,,drake,lil wayne,43,0
20,"""Suit & Tie""",justin timberlake featuring jay-z,2013,justin timberlake featuring jay-z,,justin timberlake,jay-z,16,0
20,"""Royals""",lorde,2014,lorde,,lorde,NA,3,0
20,"""Fight Song""",rachel platten,2015,rachel platten,,rachel platten,NA,1,1
20,"""Ride""",twenty one pilots,2016,twenty one pilots,,twenty one pilots,NA,4,0
20,"""Starboy""",the weeknd featuring daft punk,2017,the weeknd featuring daft punk,,the weeknd,daft punk,18,0
20,"""No Tears Left to Cry""",ariana grande,2018,ariana grande,,ariana gr,e,22,0
20,"""Better""",khalid,2019,khalid,,khalid,NA,7,0
20,"""Watermelon Sugar""",harry styles,2020,harry styles,,harry styles,NA,6,0
20,"""Astronaut in the Ocean""",masked wolf,2021,masked wolf,,masked wolf,NA,1,1
20,"""Me Porto Bonito""",bad bunny and chencho corleone,2022,bad bunny and chencho corleone,,bad bunny,chencho corleone,12,0
20,"""Boy's a Liar Pt. 2""",pinkpantheress and ice spice,2023,pinkpantheress and ice spice,,pinkpantheress,ice spice,1,1
20,"""Snooze""",sza,2024,sza,,sza,NA,9,0
21,"""O-o-h Child""",five stairsteps,1970,five stairsteps,,five stairsteps,NA,1,1
21,"""What's Going On""",marvin gaye,1971,marvin gaye,,marvin gaye,NA,5,0
21,"""The Lion Sleeps Tonight""",robert john,1972,robert john,,robert john,NA,2,0
21,"""That Lady""",the isley brothers,1973,the isley brothers,,the isley brothers,NA,4,0
21,"""Billy Don't Be a Hero""",bo donaldson and the heywoods,1974,bo donaldson and the heywoods,,bo donaldson,the heywoods,1,1
21,"""Pick Up the Pieces""",average white band,1975,average white band,,average white b,NA,2,0
21,"""I'd Really Love to See You Tonight""",england dan & john ford coley,1976,england dan & john ford coley,,engl,"dan, john ford coley",2,0
21,"""Gonna Fly Now""",bill conti,1977,bill conti,,bill conti,NA,1,1
21,"""Feels So Good""",chuck mangione,1978,chuck mangione,,chuck mangione,NA,1,1
21,"""You Don't Bring Me Flowers""",neil diamond & barbra streisand,1979,neil diamond & barbra streisand,,neil diamond,"barbra streis,",9,0
21,"""With You I'm Born Again""",billy preston and syreeta,1980,billy preston and syreeta,,billy preston,syreeta,4,0
21,"""Woman""",john lennon,1981,john lennon,,john lennon,NA,5,0
21,"""The Sweetest Thing (I've Ever Known)""",juice newton,1982,juice newton,,juice newton,NA,4,0
21,"""Jeopardy""",the greg kihn band,1983,the greg kihn band,,the greg kihn b,NA,2,0
21,"""Let's Go Crazy""",prince & the revolution,1984,prince & the revolution,,prince,the revolution,15,0
21,"""Shout""",tears for fears,1985,tears for fears,,tears for fears,NA,5,0
21,"""Stuck with You""",huey lewis and the news,1986,huey lewis and the news,,huey lewis,the news,10,0
21,"""The Lady in Red""",chris de burgh,1987,chris de burgh,,chris de burgh,NA,1,1
21,"""Man in the Mirror""",michael jackson,1988,michael jackson,,michael jackson,NA,26,0
21,"""Blame It on the Rain""",milli vanilli,1989,milli vanilli,,milli vanilli,NA,6,0
21,"""All Around the World""",lisa stansfield,1990,lisa stansfield,,lisa stansfield,NA,1,1
21,"""Justify My Love""",madonna,1991,madonna,,madonna,NA,36,0
21,"""This Used to Be My Playground""",madonna,1992,madonna,,madonna,NA,36,0
21,"""Love Is""",vanessa williams and brian mcknight,1993,vanessa williams and brian mcknight,,vanessa williams,brian mcknight,5,0
21,"""Baby, I Love Your Way""",big mountain,1994,big mountain,,big mountain,NA,1,1
21,"""You Are Not Alone""",michael jackson,1995,michael jackson,,michael jackson,NA,26,0
21,"""Loungin""",ll cool j,1996,ll cool j,,ll cool j,NA,7,0
21,"""The Freshmen""",the verve pipe,1997,the verve pipe,,the verve pipe,NA,1,1
21,"""Crush""",jennifer paige,1998,jennifer paige,,jennifer paige,NA,1,1
21,"""Bills, Bills, Bills""",destiny's child,1999,destiny's child,,destiny's child,NA,12,0
21,"""Bye Bye Bye""",nsync,2000,nsync,,nsync,NA,8,0
21,"""Drive""",incubus,2001,incubus,,incubus,NA,1,1
21,"""Without Me""",eminem,2002,eminem,,eminem,NA,18,0
21,"""P.I.M.P.""",50 cent,2003,50 cent,,50 cent,NA,9,0
21,"""Dirt off Your Shoulder""",jay-z,2004,jay-z,,jay-z,NA,16,0
21,"""Oh""",ciara featuring ludacris,2005,ciara featuring ludacris,,ciara,ludacris,7,0
21,"""Move Along""",the all-american rejects,2006,the all-american rejects,,the all-american rejects,NA,4,0
21,"""Give It to Me""",timbaland featuring nelly furtado and justin timberlake,2007,timbaland featuring nelly furtado and justin timberlake,,timbal,", nelly furtado, justin timberlake",5,0
21,"""Bubbly""",colbie caillat,2008,colbie caillat,,colbie caillat,NA,4,0
21,"""The Climb""",miley cyrus,2009,miley cyrus,,miley cyrus,NA,12,0
21,"""Empire State of Mind""",jay-z featuring alicia keys,2010,jay-z featuring alicia keys,,jay-z,alicia keys,16,0
21,"""Look at Me Now""",chris brown featuring lil wayne and busta rhymes,2011,chris brown featuring lil wayne and busta rhymes,,chris brown,"lil wayne, busta rhymes",24,0
21,"""Where Have You Been""",rihanna,2012,rihanna,,rihanna,NA,33,0
21,"""Cups (Pitch Perfect's When I'm Gone)""",anna kendrick,2013,anna kendrick,,anna kendrick,NA,1,1
21,"""Let It Go""",idina menzel,2014,idina menzel,,idina menzel,NA,1,1
21,"""679""",fetty wap featuring remy boyz,2015,fetty wap featuring remy boyz,,fetty wap,remy boyz,4,0
21,"""Heathens""",twenty one pilots,2016,twenty one pilots,,twenty one pilots,NA,4,0
21,"""Location""",khalid,2017,khalid,,khalid,NA,7,0
21,"""Mine""",bazzi,2018,bazzi,,bazzi,NA,2,0
21,"""No Guidance""",chris brown featuring drake,2019,chris brown featuring drake,,chris brown,drake,24,0
21,"""Before You Go""",lewis capaldi,2020,lewis capaldi,,lewis capaldi,NA,3,0
21,"""34+35""",ariana grande featuring doja cat and megan thee stallion,2021,ariana grande featuring doja cat and megan thee stallion,,ariana gr,"e, doja cat, megan thee stallion",22,0
21,"""Woman""",doja cat,2022,doja cat,,doja cat,NA,15,0
21,"""Favorite Song""",toosii,2023,toosii,,toosii,NA,1,1
21,"""Paint the Town Red""",doja cat,2024,doja cat,,doja cat,NA,15,0
22,"""Spirit in the Sky""",norman greenbaum,1970,norman greenbaum,,norman greenbaum,NA,1,1
22,"""Uncle Albert/Admiral Halsey""",paul & linda mccartney,1971,paul & linda mccartney,,paul,linda mccartney,1,1
22,"""Outa-Space""",billy preston,1972,billy preston,,billy preston,NA,4,0
22,"""Pillow Talk""",sylvia robinson,1973,sylvia robinson,,sylvia robinson,NA,1,1
22,"""Band on the Run""",paul mccartney and wings,1974,paul mccartney and wings,,paul mccartney,wings,13,0
22,"""The Hustle""",van mccoy & the soul city symphony,1975,van mccoy & the soul city symphony,,van mccoy,the soul city symphony,1,1
22,"""You Sexy Thing""",hot chocolate,1976,hot chocolate,,hot chocolate,NA,2,0
22,"""Southern Nights""",glen campbell,1977,glen campbell,,glen campbell,NA,4,0
22,"""Hot Child in the City""",nick gilder,1978,nick gilder,,nick gilder,NA,1,1
22,"""Knock on Wood""",amii stewart,1979,amii stewart,,amii stewart,NA,1,1
22,"""Shining Star""",the manhattans,1980,the manhattans,,the manhattans,NA,2,0
22,"""Sukiyaki""",a taste of honey,1981,a taste of honey,,a taste of honey,NA,2,0
22,"""Always on My Mind""",willie nelson,1982,willie nelson,,willie nelson,NA,1,1
22,"""Electric Avenue""",eddy grant,1983,eddy grant,,eddy grant,NA,1,1
22,"""Say It Isn't So""",daryl hall & john oates,1984,daryl hall & john oates,,daryl hall,john oates,16,0
22,"""Part-Time Lover""",stevie wonder,1985,stevie wonder,,stevie wonder,NA,18,0
22,"""Holding Back the Years""",simply red,1986,simply red,,simply red,NA,2,0
22,"""Didn't We Almost Have It All""",whitney houston,1987,whitney houston,,whitney houston,NA,22,0
22,"""Shake Your Love""",debbie gibson,1988,debbie gibson,,debbie gibson,NA,5,0
22,"""Listen to Your Heart""",roxette,1989,roxette,,roxette,NA,6,0
22,"""I Wanna Be Rich""",calloway,1990,calloway,,calloway,NA,1,1
22,"""Emotions""",mariah carey,1991,mariah carey,,mariah carey,NA,35,0
22,"""Sometimes Love Just Ain't Enough""",patty smyth and don henley,1992,patty smyth and don henley,,patty smyth,don henley,1,1
22,"""Runaway Train""",soul asylum,1993,soul asylum,,soul asylum,NA,2,0
22,"""Regulate""",warren g and nate dogg,1994,warren g and nate dogg,,warren g,nate dogg,3,0
22,"""Hold My Hand""",hootie & the blowfish,1995,hootie & the blowfish,,hootie,the blowfish,6,0
22,"""Insensitive""",jann arden,1996,jann arden,,jann arden,NA,1,1
22,"""I Want You""",savage garden,1997,savage garden,,savage garden,NA,4,0
22,"""Everybody (Backstreet's Back)""",backstreet boys,1998,backstreet boys,,backstreet boys,NA,7,0
22,"""Save Tonight""",eagle-eye cherry,1999,eagle-eye cherry,,eagle-eye cherry,NA,1,1
22,"""You Sang to Me""",marc anthony,2000,marc anthony,,marc anthony,NA,3,0
22,"""What Would You Do?""",city high,2001,city high,,city high,NA,2,0
22,"""Hero""",enrique iglesias,2002,enrique iglesias,,enrique iglesias,NA,8,0
22,"""Bump, Bump, Bump""",b2k and p. diddy,2003,b2k and p. diddy,,b2k,p. diddy,2,0
22,"""Move Ya Body""",nina sky featuring jabba,2004,nina sky featuring jabba,,nina sky,jabba,1,1
22,"""Lonely No More""",rob thomas,2005,rob thomas,,rob thomas,NA,2,0
22,"""London Bridge""",fergie,2006,fergie,,fergie,NA,6,0
22,"""What Goes Around... Comes Around""",justin timberlake,2007,justin timberlake,,justin timberlake,NA,16,0
22,"""Touch My Body""",mariah carey,2008,mariah carey,,mariah carey,NA,35,0
22,"""Best I Ever Had""",drake,2009,drake,,drake,NA,43,0
22,"""DJ Got Us Fallin' in Love""",usher featuring pitbull,2010,usher featuring pitbull,,usher,pitbull,25,0
22,"""Down on Me""",jeremih featuring 50 cent,2011,jeremih featuring 50 cent,,jeremih,50 cent,4,0
22,"""Everybody Talks""",neon trees,2012,neon trees,,neon trees,NA,3,0
22,"""Holy Grail""",jay-z featuring justin timberlake,2013,jay-z featuring justin timberlake,,jay-z,justin timberlake,16,0
22,"""Wake Me Up""",avicii,2014,avicii,,avicii,NA,3,0
22,"""Lips Are Movin""",meghan trainor,2015,meghan trainor,,meghan trainor,NA,9,0
22,"""Pillowtalk""",zayn,2016,zayn,,zayn,NA,2,0
22,"""Attention""",charlie puth,2017,charlie puth,,charlie puth,NA,5,0
22,"""Thunder""",imagine dragons,2018,imagine dragons,,imagine dragons,NA,13,0
22,"""Girls Like You""",maroon 5 featuring cardi b,2019,maroon 5 featuring cardi b,,maroon 5,cardi b,25,0
22,"""Falling""",trevor daniel,2020,trevor daniel,,trevor daniel,NA,1,1
22,"""What You Know Bout Love""",pop smoke,2021,pop smoke,,pop smoke,NA,6,0
22,"""Tití Me Preguntó""",bad bunny,2022,bad bunny,,bad bunny,NA,12,0
22,"""Thought You Should Know""",morgan wallen,2023,morgan wallen,,morgan wallen,NA,18,0
22,"""Fortnight""",taylor swift featuring post malone,2024,taylor swift featuring post malone,,taylor swift,post malone,36,0
23,"""Lay Down (Candles in the Rain)""",melanie,1970,melanie,,melanie,NA,2,0
23,"""Ain't No Sunshine""",bill withers,1971,bill withers,,bill,ers,3,0
23,"""Slippin' into Darkness""",war,1972,war,,war,NA,7,0
23,"""We're an American Band""",grand funk railroad,1973,grand funk railroad,,gr,funk railroad,4,0
23,"""The Most Beautiful Girl""",charlie rich,1974,charlie rich,,charlie rich,NA,3,0
23,"""Lady Marmalade""",labelle,1975,labelle,,labelle,NA,1,1
23,"""Love Hurts""",nazareth,1976,nazareth,,nazareth,NA,1,1
23,"""Rich Girl""",hall & oates,1977,hall & oates,,hall,oates,3,0
23,"""Love Is Like Oxygen""",sweet,1978,sweet,,sweet,NA,4,0
23,"""Stumblin' In""",suzi quatro & chris norman,1979,suzi quatro & chris norman,,suzi quatro,chris norman,1,1
23,"""Still""",commodores,1980,commodores,,commodores,NA,8,0
23,"""The Winner Takes It All""",abba,1981,abba,,abba,NA,6,0
23,"""Shake It Up""",the cars,1982,the cars,,the cars,NA,5,0
23,"""She Blinded Me with Science""",thomas dolby,1983,thomas dolby,,thomas dolby,NA,1,1
23,"""Hold Me Now""",thompson twins,1984,thompson twins,,thompson twins,NA,3,0
23,"""Saving All My Love for You""",whitney houston,1985,whitney houston,,whitney houston,NA,22,0
23,"""Sledgehammer""",peter gabriel,1986,peter gabriel,,peter gabriel,NA,2,0
23,"""I Still Haven't Found What I'm Looking For""",u2,1987,u2,,u2,NA,7,0
23,"""Simply Irresistible""",robert palmer,1988,robert palmer,,robert palmer,NA,5,0
23,"""I'll Be There for You""",bon jovi,1989,bon jovi,,bon jovi,NA,12,0
23,"""Rub You the Right Way""",johnny gill,1990,johnny gill,,johnny gill,NA,1,1
23,"""Joyride""",roxette,1991,roxette,,roxette,NA,6,0
23,"""Can't Let Go""",mariah carey,1992,mariah carey,,mariah carey,NA,35,0
23,"""I'll Never Get Over You (Getting Over Me)""",exposé,1993,exposé,,exposé,NA,6,0
23,"""If You Go""",jon secada,1994,jon secada,,jon secada,NA,4,0
23,"""One More Chance/Stay with Me""",the notorious b.i.g.,1995,the notorious b.i.g.,,the notorious b.i.g.,NA,4,0
23,"""Be My Lover""",la bouche,1996,la bouche,,la bouche,NA,2,0
23,"""No Diggity""",blackstreet featuring dr. dre,1997,blackstreet featuring dr. dre,,blackstreet,dr. dre,4,0
23,"""I Don't Want to Miss a Thing""",aerosmith,1998,aerosmith,,aerosmith,NA,12,0
23,"""Last Kiss""",pearl jam,1999,pearl jam,,pearl jam,NA,2,0
23,"""I Need to Know""",marc anthony,2000,marc anthony,,marc anthony,NA,3,0
23,"""Survivor""",destiny's child,2001,destiny's child,,destiny's child,NA,12,0
23,"""All You Wanted""",michelle branch,2002,michelle branch,,michelle branch,NA,2,0
23,"""Into You""",fabolous featuring tamia,2003,fabolous featuring tamia,,fabolous,tamia,4,0
23,"""Dip It Low""",christina milian,2004,christina milian,,christina milian,NA,1,1
23,"""Drop It Like It's Hot""",snoop dogg featuring pharrell,2005,snoop dogg featuring pharrell,,snoop dogg,pharrell,6,0
23,"""Dani California""",red hot chili peppers,2006,red hot chili peppers,,red hot chili peppers,NA,5,0
23,"""Cupid's Chokehold""",gym class heroes featuring patrick stump,2007,gym class heroes featuring patrick stump,,gym class heroes,patrick stump,4,0
