No.,Title,Artist,Year,all_artists,artist_list,primary_artist,other_artists,primary_artist_count,one_hit
89,"""Baby, I Love Your Way (Live)""",peter frampton,1976,peter frampton,,peter frampton,NA,3,0
89,"""Muskrat Love""",captain & tennille,1977,captain & tennille,,captain,tennille,5,0
89,"""You Can't Turn Me Off (In The Middle Of Turning Me On)""",high inergy,1978,high inergy,,high inergy,NA,1,1
89,"""Everytime I Think of You""",the babys,1979,the babys,,the babys,NA,1,1
89,"""Jojo""",boz scaggs,1980,boz scaggs,,boz scaggs,NA,5,0
89,"""I Made It Through the Rain""",barry manilow,1981,barry manilow,,barry manilow,NA,11,0
89,"""Should I Do It""",the pointer sisters,1982,the pointer sisters,,the pointer sisters,NA,8,0
89,"""Human Nature""",michael jackson,1983,michael jackson,,michael jackson,NA,26,0
89,"""The Longest Time""",billy joel,1984,billy joel,,billy joel,NA,12,0
89,"""Fresh""",kool & the gang,1985,kool & the gang,,kool,the gang,13,0
89,"""Walk This Way""",run–d.m.c. featuring aerosmith,1986,run–d.m.c. featuring aerosmith,,run–d.m.c.,aerosmith,1,1
89,"""Respect Yourself""",bruce willis,1987,bruce willis,,bruce willis,NA,1,1
89,"""One Moment in Time""",whitney houston,1988,whitney houston,,whitney houston,NA,22,0
89,"""Dreamin'""",vanessa williams,1989,vanessa williams,,vanessa williams,NA,5,0
89,"""Make You Sweat""",keith sweat,1990,keith sweat,,keith sweat,NA,8,0
89,"""Rico Suave""",gerardo,1991,gerardo,,gerardo,NA,1,1
89,"""Thinkin' Back""",color me badd,1992,color me badd,,color me badd,NA,6,0
89,"""Faithful""",go west,1993,go west,,go west,NA,2,0
89,"""December, 1963 (Oh, What a Night)""",the four seasons,1994,the four seasons,,the four seasons,NA,2,0
89,"""1st of tha Month""",bone thugs-n-harmony,1995,bone thugs-n-harmony,,bone thugs-n-harmony,NA,4,0
89,"""Get Money""",junior m.a.f.i.a. featuring the notorious b.i.g.,1996,junior m.a.f.i.a. featuring the notorious b.i.g.,,junior m.a.f.i.a.,the notorious b.i.g.,2,0
89,"""Go the Distance""",michael bolton,1997,michael bolton,,michael bolton,NA,10,0
89,"""Do for Love""",2pac featuring eric williams,1998,2pac featuring eric williams,,2pac,eric williams,6,0
89,"""Hard Knock Life (Ghetto Anthem)""",jay-z,1999,jay-z,,jay-z,NA,16,0
89,"""Dance with Me""",debelah morgan,2000,debelah morgan,,debelah morgan,NA,2,0
89,"""I'm a Thug""",trick daddy,2001,trick daddy,,trick daddy,NA,2,0
89,"""Full Moon""",brandy,2002,brandy,,br,y,11,0
89,"""Sing for the Moment""",eminem,2003,eminem,,eminem,NA,18,0
89,"""When the Sun Goes Down""",kenny chesney and uncle kracker,2004,kenny chesney and uncle kracker,,kenny chesney,uncle kracker,10,0
89,"""Just the Girl""",the click five,2005,the click five,,the click five,NA,1,1
89,"""Pump It""",the black eyed peas,2006,the black eyed peas,,the black eyed peas,NA,15,0
