Year,No.,primary_artist,Title,is_major_label,decade,sqrt_reappearance,duration_sec,lastfm_genre,lastfm_top_tag,new_lastfm_genre
1971,7,donny osmond,"""Go Away Little Girl""",FALSE,1970,2,150.6,Pop,70s,Pop
1971,8,john denver,"""Take Me Home, Country Roads""",TRUE,1970,2.23606797749979,190.16,Country,Country,Country
1971,10,tony orlando,"""Knock Three Times""",FALSE,1970,1.7320508075688772,177.173,Pop,70s,Pop
1971,11,janis joplin,"""Me and Bobby McGee""",TRUE,1970,0,271.333,Blues,Classic Rock,Blues
1971,12,al green,"""Tired of Being Alone""",FALSE,1970,2.23606797749979,172.32,Rnb,Soul,NA
1971,13,honey cone,"""Want Ads""",FALSE,1970,1,168.28,Pop,70s,Pop
1971,14,the undisputed truth,"""Smiling Faces Sometimes""",TRUE,1970,0,198.546,Rnb,Soul,NA
1971,15,cornelius brothers,"""Treat Her Like a Lady""",FALSE,1970,1,160.36,Pop,70s,NA
1971,16,the rolling stones,"""Brown Sugar""",FALSE,1970,2.23606797749979,228.666,Rock,Classic Rock,Rock
1971,18,jean knight,"""Mr. Big Stuff""",FALSE,1970,0,164.56,Pop,Soul,NA
1971,19,lee michaels,"""Do You Know What I Mean""",FALSE,1970,0,193.8,Rock,Classic Rock,Rock
1971,20,joan baez,"""The Night They Drove Old Dixie Down""",FALSE,1970,0,206.066,Folk,Folk,Folk
1971,21,marvin gaye,"""What's Going On""",TRUE,1970,2,233,Rnb,Soul,NA
1971,22,paul,"""Uncle Albert/Admiral Halsey""",FALSE,1970,0,295.146,Pop,Classic Rock,Pop
1971,23,bill withers,"""Ain't No Sunshine""",TRUE,1970,1.4142135623730951,125.093,Blues,Soul,Blues
1971,24,five man electrical band,"""Signs""",FALSE,1970,0,241.693,Rock,Classic Rock,Rock
1971,26,the free movement,"""I've Found Someone of My Own""",TRUE,1970,0,226.514,Unknown,70s,NA
1971,27,murray head,"""Superstar""",FALSE,1970,1,255.831,Unknown,NA,NA
1971,28,jerry reed,"""Amos Moses""",FALSE,1970,1,139.226,Country,Country,Country
1971,29,the grass roots,"""Temptation Eyes""",FALSE,1970,0,159.173,Pop,60s,Pop
1971,31,george harrison,"""My Sweet Lord""/""Isn't It A Pity""",FALSE,1970,1.7320508075688772,244.517,Unknown,NA,NA
1971,33,ocean,"""Put Your Hand in the Hand""",FALSE,1970,0,176.706,Pop,70s,Pop
1971,34,daddy dewdrop,"""Chick-A-Boom (Don't Ya Jes' Love It)""",FALSE,1970,0,171.533,Pop,70s,Pop
1971,36,gordon lightfoot,"""If You Could Read My Mind""",TRUE,1970,1,228.84,Folk,70s,Folk
1971,37,sammi smith,"""Help Me Make It Through the Night""",FALSE,1970,0,155.533,Country,Country,Country
1971,39,cher,"""Gypsys, Tramps & Thieves""",FALSE,1970,3,158,Pop,Pop,Pop
1971,41,lynn anderson,"""Rose Garden""",TRUE,1970,0,175.866,Country,Country,Country
1971,42,hamilton,"""Don't Pull Your Love""",FALSE,1970,1,163.04,Rock,70s,Rock
1971,43,ringo starr,"""It Don't Come Easy""",FALSE,1970,2,184.333,Rock,Classic Rock,Rock
