primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first,clean_title,lastfm_genre,lastfm_top_tag,duration_sec,search_artist,new_lastfm_genre
r. dean taylor,1970,"""Indiana Wants Me""","""r. dean taylor""",TRUE,1,Motown,1967-01-23,Motown,1970,TRUE,54,0,0,FALSE,Indiana Wants Me,Rock,70s,215.146,r. dean taylor,Rock
the four tops,1970,"""Still Water (Love)""","""the four tops""",TRUE,2,Motown,1970,Motown,1970,TRUE,58,1,1,TRUE,Still Water (Love),Rnb,Motown,194.693,the four tops,NA
chicago,1970,"""Make Me Smile""","""chicago""",TRUE,15,Rhino,1970-01-26,Rhino,1970,TRUE,59,14,3.7416573867739418,TRUE,Make Me Smile,Rock,Classic Rock,178.933,chicago,Rock
frijid pink,1970,"""The House of the Rising Sun""","""frijid pink""",TRUE,1,"ABKCO Music & Records, Inc.",1964-01-01,"ABKCO Music & Records, Inc.",1970,FALSE,60,0,0,FALSE,The House of the Rising Sun,Unknown,Classic Rock,284.346,frijid pink,NA
white plains,1970,"""My Baby Loves Lovin'""","""white plains""",TRUE,1,Fuel Records,1960-03-09,Fuel Records,1970,FALSE,62,0,0,FALSE,My Baby Loves Lovin',Pop,70s,157.493,white plains,Pop
the friends of distinction,1970,"""Love or Let Me Be Lonely""","""the friends of distinction""",TRUE,1,RCA/Legacy,1970-03-01,RCA; Legacy,1970,TRUE,63,0,0,FALSE,Love or Let Me Be Lonely,Pop,Soul,203.333,the friends of distinction,NA
the brotherhood of man,1970,"""United We Stand""","""the brotherhood of man""",TRUE,1,Universal Digital Enterprises,1968-12-12,Universal Digital Enterprises,1970,FALSE,64,0,0,FALSE,United We Stand,Pop,70s,177.615,the brotherhood of man,Pop
mark lindsay,1970,"""Arizona""","""mark lindsay""",TRUE,1,Columbia,1969-03-05,Columbia,1970,TRUE,66,0,0,FALSE,Arizona,Pop,70s,188.133,mark lindsay,Pop
james taylor,1970,"""Fire and Rain""","""james taylor""",TRUE,4,Rhino/Warner Records,1970-02-01,Rhino; Warner Records,1970,TRUE,67,3,1.7320508075688772,TRUE,Fire and Rain,Folk,Folk,203.613,james taylor,Folk
gene chandler,1970,"""Groovy Situation""","""gene chandler""",TRUE,1,Legacy Recordings,1990-10,Legacy Recordings,1970,FALSE,68,0,0,FALSE,Groovy Situation,Pop,Soul,193.466,gene chandler,NA
santana,1970,"""Evil Ways""","""santana""",TRUE,9,Columbia/Legacy,1969,Columbia; Legacy,1970,TRUE,69,8,2.8284271247461903,TRUE,Evil Ways,Rock,Rock,238.266,santana,Rock
the delfonics,1970,"""Didn't I (Blow Your Mind This Time)""","""the delfonics""",TRUE,1,Buddha Records,1968,Buddha Records,1970,FALSE,71,0,0,FALSE,Didn't I (Blow Your Mind This Time),Jazz,Soul,201.066,the delfonics,NA
elvis presley,1970,"""The Wonder of You""","""elvis presley""",TRUE,3,GoldState Music,1985-12-21,GoldState Music,1970,FALSE,72,2,1.4142135623730951,TRUE,The Wonder of You,Rock,Elvis,153.2,elvis presley,Rock
ronnie dyson,1970,"""(If You Let Me Make Love To You Then) Why Can't I Touch You?""","""ronnie dyson""",TRUE,1,Columbia/Legacy,1970-05-01,Columbia; Legacy,1970,TRUE,74,0,0,FALSE,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Unknown,Vocal Harmonies,203.746,ronnie dyson,NA
the spinners,1970,"""It's a Shame""","""the spinners""",TRUE,7,UNI/MOTOWN,1970,UNI; MOTOWN,1970,TRUE,76,6,2.449489742783178,TRUE,It's a Shame,Rnb,Soul,190.058,the spinners,NA
bobbi martin,1970,"""For the Love of Him""","""bobbi martin""",TRUE,1,Motown,1994-01-01,Motown,1970,TRUE,77,0,0,FALSE,For the Love of Him,Rock,Easy Listening,87.987,bobbi martin,Rock
mountain,1970,"""Mississippi Queen""","""mountain""",TRUE,1,Columbia/Legacy,1970,Columbia; Legacy,1970,TRUE,78,0,0,FALSE,Mississippi Queen,Rock,Classic Rock,151.293,mountain,Rock
ike,1970,"""I Want to Take You Higher""","[""ike"",""tina turner""]",TRUE,2,CAPITOL CATALOG MKT (C92),1970-05-08,CAPITOL CATALOG MKT (C92),1970,FALSE,79,1,1,TRUE,I Want to Take You Higher,Rock,Soul,172.026,ike & tina turner,Rock
joe cocker,1970,"""The Letter""","""joe cocker""",TRUE,3,A&M,1970-08-18,A&M,1970,FALSE,80,2,1.4142135623730951,TRUE,The Letter,Rock,Classic Rock,250.626,joe cocker,Rock
tee-set,1970,"""Ma Belle Amie""","""tee-set""",TRUE,1,Pseudonym / TSR,1970-04-02,Pseudonym; TSR,1970,FALSE,81,0,0,FALSE,Ma Belle Amie,Pop,Oldies,194.859,tee-set,Pop
the originals,1970,"""The Bells""","""the originals""",TRUE,1,UNI/MOTOWN,1970-06-01,UNI; MOTOWN,1970,TRUE,82,0,0,FALSE,The Bells,Rnb,Motown,175.56,the originals,NA
christie,1970,"""Yellow River""","""christie""",TRUE,1,Craft Recordings,1969-08-03,Craft Recordings,1970,FALSE,83,0,0,FALSE,Yellow River,Pop,70s,165.96,christie,Pop
