primary_artist,Year,Title,record_label,album_year,decade,is_major_label,reappears_after_first
the carpenters,1971,"""Superstar""",A&M,1971,1970,FALSE,TRUE
george harrison,1971,"""My Sweet Lord""/""Isn't It A Pity""",BMG Rights Management (US) LLC,1970-11-20,1970,FALSE,TRUE
donny osmond,1971,"""Sweet and Innocent""",Universal Records,1971-09-05,1970,FALSE,TRUE
ocean,1971,"""Put Your Hand in the Hand""",Legacy Recordings,1971,1970,FALSE,FALSE
daddy dewdrop,1971,"""Chick-A-Boom (Don't Ya Jes' Love It)""",Jive,2004,1970,FALSE,FALSE
the carpenters,1971,"""For All We Know""",A&M,1971,1970,FALSE,TRUE
gordon lightfoot,1971,"""If You Could Read My Mind""",143/Warner Records,1970,1970,TRUE,TRUE
sammi smith,1971,"""Help Me Make It Through the Night""",Varese Sarabande,1996-01-01,1970,FALSE,FALSE
the carpenters,1971,"""Rainy Days and Mondays""",A&M,1971,1970,FALSE,TRUE
cher,1971,"""Gypsys, Tramps & Thieves""",Geffen,1971-01-01,1970,FALSE,TRUE
the jackson 5,1971,"""Never Can Say Goodbye""",UNI/MOTOWN,1971-04-12,1970,TRUE,TRUE
lynn anderson,1971,"""Rose Garden""",Columbia/Legacy,1966,1970,TRUE,FALSE
hamilton,1971,"""Don't Pull Your Love""",Geffen,1971-05-01,1970,FALSE,TRUE
ringo starr,1971,"""It Don't Come Easy""",Parlophone,1973-01-01,1970,FALSE,TRUE
nitty gritty dirt band,1971,"""Mr. Bojangles""",Capitol Nashville,2001-01-01,1970,FALSE,FALSE
the fuzz,1971,"""I Love You for All Seasons""",Rhino,1971-01-01,1970,TRUE,FALSE
the dramatics,1971,"""Whatcha See Is Whatcha Get""",Stax,1971,1970,FALSE,TRUE
carly simon,1971,"""That's the Way I've Always Heard It Should Be""",Rhino/Elektra,1971-03,1970,TRUE,TRUE
stevie wonder,1971,"""If You Really Love Me""",Motown,1971-04-01,1970,FALSE,TRUE
aretha franklin,1971,"""Spanish Harlem""",Rhino Atlantic,1961,1970,TRUE,TRUE
helen reddy,1971,"""I Don't Know How to Love Him""",Capitol Records,1987-01-01,1970,TRUE,TRUE
the osmonds,1971,"""Yo-Yo""",Universal Records,1971-06-21,1970,FALSE,TRUE
aretha franklin,1971,"""Bridge over Troubled Water""",Rhino Atlantic,1994-03-22,1970,TRUE,TRUE
the partridge family,1971,"""Doesn't Somebody Want to Be Wanted""",Arista,1974,1970,FALSE,FALSE
tommy james,1971,"""Draggin' the Line""",Rhino,1989,1970,TRUE,FALSE
ike,1971,"""Proud Mary""",Craft Recordings,1969-01-05,1970,FALSE,TRUE
chicago,1971,"""Beginnings""/""Colour My World""",Rhino,1971-10-25,1970,TRUE,TRUE
the bells,1971,"""Stay Awhile""",Rover Records,2000-03-01,1970,FALSE,FALSE
the stampeders,1971,"""Sweet City Woman""",UNIDISC MUSIC INC.,1971-01-01,1970,FALSE,FALSE
lobo,1971,"""Me and You and a Dog Named Boo""",Rhino Atlantic,1971,1970,TRUE,TRUE
paul mccartney,1971,"""Another Day""/""Oh Woman, Oh Why""",BMG Rights Management (US) LLC,1970-11-20,1970,FALSE,TRUE
bread,1971,"""If""",Rhino/Elektra,1971,1970,TRUE,TRUE
marvin gaye,1971,"""Mercy Mercy Me (The Ecology)""",UNI/MOTOWN,1971-05-21,1970,TRUE,TRUE
brewer,1971,"""One Toke Over the Line""",Legacy Recordings,1970,1970,FALSE,FALSE
8th day,1971,"""She's Not Just Another Woman""",Edsel,1971-01-01,1970,FALSE,FALSE
freda payne,1971,"""Bring the Boys Home""",Demon,1971-01-01,1970,FALSE,TRUE
rare earth,1971,"""I Just Want to Celebrate""",UNI/MOTOWN,1971-06-02,1970,TRUE,TRUE
delaney,1971,"""Never Ending Song of Love""",Rhino Atlantic,1971-03-01,1970,TRUE,FALSE
freddie hart,1971,"""Easy Loving""","Foxhole Records, Inc.",2008-01-01,1970,FALSE,FALSE
three dog night,1971,"""Liar""",Geffen*,1970-01-01,1970,FALSE,TRUE
honey cone,1971,"""Stick-Up""",Harmless,2014-05-19,1970,FALSE,FALSE
mac,1971,"""Chirpy Chirpy Cheep Cheep""",RCA Camden,2002-05-28,1970,FALSE,FALSE
andy williams,1971,"""(Where Do I Begin?) Love Story""",Columbia,1971-02-03,1970,FALSE,FALSE
cat stevens,1971,"""Wild World""",UMC (Universal Music Catalogue),1970-11-23,1970,FALSE,TRUE
jerry reed,1971,"""When You're Hot, You're Hot""",RCA/Legacy,1971-04-01,1970,TRUE,FALSE
the beginning of the end,1971,"""Funky Nassau""",LIL JOE RECORDS,1990-07-24,1970,FALSE,FALSE
olivia newton-john,1971,"""If Not for You""",Primary Wave Music,1973-11-01,1970,FALSE,TRUE
king floyd,1971,"""Groove Me""",Chimneyville Records,1971-01-01,1970,FALSE,FALSE
bobby goldsboro,1971,"""Watching Scotty Grow""",Columbia,1986-08-26,1970,FALSE,FALSE
matthews southern comfort,1971,"""Woodstock""",Classic Music Vault,2016-04-01,1970,FALSE,FALSE
judy collins,1971,"""Amazing Grace""",Elektra Records,1970-01-01,1970,FALSE,FALSE
dave edmunds,1971,"""I Hear You Knocking""",President Records,1970,1970,FALSE,FALSE
bee gees,1971,"""Lonely Days""",Bee Gees Catalog,1970-11,1970,FALSE,TRUE
the fortunes,1971,"""Here Comes That Rainy Day Feeling Again""",CAPITOL CATALOG MKT (C92),1961-10-02,1970,FALSE,FALSE
the who,1971,"""Won't Get Fooled Again""",Polydor Records,1971-08-14,1970,FALSE,TRUE
denise lasalle,1971,"""Trapped By a Thing Called Love""",Janus Records,1972-12-19,1970,FALSE,FALSE
the jackson 5,1971,"""Mama's Pearl""",UNI/MOTOWN,1970-09-08,1970,TRUE,TRUE
the buoys,1971,"""Timothy""",Scepter Records,1971,1970,FALSE,FALSE
the partridge family,1971,"""I Woke Up In Love This Morning""",Arista,1974,1970,FALSE,FALSE
isaac hayes,1971,"""Theme from Shaft""",Stax,1971,1970,FALSE,TRUE
gladys knight,1971,"""If I Were Your Woman""",UNI/MOTOWN,1971-01-01,1970,TRUE,TRUE
neil diamond,1971,"""I Am...I Said""",Geffen,1971-11-05,1970,FALSE,TRUE
paul stookey,1971,"""The Wedding Song (There Is Love)""",Neworld Multimedia,1971-01-01,1970,FALSE,FALSE
wilson pickett,1971,"""Don't Knock My Love""",Universal Records,1968-08-16,1970,FALSE,FALSE
the doors,1971,"""Love Her Madly""",Rhino/Elektra,1971-04-19,1970,TRUE,FALSE
richie havens,1971,"""Here Comes the Sun""",Five Star Recordings,1972,1970,FALSE,FALSE
wadsworth mansion,1971,"""Sweet Mary""",Sussex Records,1970-09-10,1970,FALSE,FALSE
brenda,1971,"""Right on the Tip of My Tongue""",Jamie/Guyden,1998-01-01,1970,FALSE,FALSE
the 5th dimension,1971,"""One Less Bell to Answer""",Arista/Legacy,1970,1970,TRUE,TRUE
the doors,1971,"""Riders on the Storm""",Rhino/Elektra,1971-04-19,1970,TRUE,FALSE
perry como,1971,"""It's Impossible""",RCA/Legacy,1970-12-01,1970,TRUE,FALSE
