primary_artist,Year,No.,Title,genre,duration_sec,is_major_label,decade,sqrt_reappearance
bill conti,1977,21,"""Gonna Fly Now""",Jazz,167.533,TRUE,1970,0
rose royce,1977,26,"""Car Wash""",Jazz,307.573,FALSE,1970,1
marilyn mccoo,1977,27,"""You Don't Have to Be a Star (To Be in My Show)""",NA,279.586,FALSE,1970,0
david soul,1977,29,"""Don't Give Up on Us""",Pop	Rock,218.946,FALSE,1970,0
stephen bishop,1977,30,"""On and On""",Pop	Rock,181.893,FALSE,1970,1
foreigner,1977,31,"""Feels Like the First Time""",Pop Rock,232.333,TRUE,1970,2.82842712474619
climax blues band,1977,32,"""Couldn't Get It Right""",Blues,198.946,FALSE,1970,1
jennifer warnes,1977,34,"""Right Time of the Night""",Rock,173.653,TRUE,1970,0
natalie cole,1977,35,"""I've Got Love on My Mind""",Jazz,260,TRUE,1970,1.73205080756888
manfred mann's earth band,1977,36,"""Blinded by the Light""",Pop Rock,428.133,FALSE,1970,0
atlanta rhythm section,1977,38,"""So in to You""",Pop	Rock,404.266,FALSE,1970,1
the jacksons,1977,40,"""Enjoy Yourself""",Rnb,204.413,FALSE,1970,1.4142135623731
debby boone,1978,3,"""You Light Up My Life""",Country	Rock,216.286,FALSE,1970,0
exile,1978,5,"""Kiss You All Over""",Country,214.4,FALSE,1970,0
player,1978,7,"""Baby Come Back""",Pop Rock,255.845,FALSE,1970,1
a taste of honey,1978,9,"""Boogie Oogie Oogie""",Jazz,245.173,TRUE,1970,1
paul davis,1978,12,"""I Go Crazy""",Pop	Rock,233.893,FALSE,1970,1.4142135623731
samantha sang,1978,14,"""Emotion""",World	Pop,237.293,FALSE,1970,0
billy joel,1978,17,"""Just the Way You Are""",Jazz,290.573,TRUE,1970,3.3166247903554
yvonne elliman,1978,19,"""If I Can't Have You""",Pop,177.96,FALSE,1970,0
chic,1978,20,"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""",Jazz,501.466,TRUE,1970,1.73205080756888
chuck mangione,1978,21,"""Feels So Good""",Jazz,582.733,FALSE,1970,0
nick gilder,1978,22,"""Hot Child in the City""",Pop Rock,215.092,FALSE,1970,0
bonnie tyler,1978,24,"""It's a Heartache""",Pop	Rock,215.16,FALSE,1970,1
gerry rafferty,1978,26,"""Baker Street""",Rock,365.626,FALSE,1970,0
johnny mathis,1978,28,"""Too Much, Too Little, Too Late""",R&B,176.48,TRUE,1970,0
peter brown,1978,29,"""Dance With Me""",Pop,319.226,TRUE,1970,0
meat loaf,1978,30,"""Two Out of Three Ain't Bad""",Pop Rock,324.44,TRUE,1970,1.73205080756888
raydio,1978,31,"""Jack And Jill""",R&B,275.666,FALSE,1970,1.4142135623731
